train_id,adult_males,subadult_males,adult_females,juveniles,pups
523,16,4,64,13,16
524,4,2,1,1,0
525,3,0,9,35,0
526,4,10,20,19,13
527,2,0,29,6,1
528,8,0,30,4,24
529,5,2,15,13,0
532,2,0,0,0,0
533,2,2,0,2,0
534,0,1,0,0,0
535,7,0,81,36,7
536,15,1,52,4,44
537,1,4,2,8,0
538,10,2,163,9,115
539,1,5,0,0,0
540,22,21,40,11,1
541,4,1,12,2,0
542,3,2,0,0,0
543,3,2,0,6,0
544,4,6,8,2,0
545,3,14,36,21,0
546,3,1,16,47,0
547,2,2,18,34,0
548,3,0,5,4,0
549,1,4,31,0,0
550,2,0,11,14,0
551,1,0,13,13,0
552,2,3,52,46,0
553,5,3,3,1,0
554,1,8,9,1,1
555,3,3,20,28,0
556,13,17,133,32,102
557,0,3,0,3,0
558,14,3,87,21,39
559,2,2,29,41,0
560,1,2,0,38,0
561,3,0,33,42,0
562,3,4,31,68,0
563,6,5,68,6,88
564,1,0,0,0,0
565,0,0,6,8,0
566,2,2,0,0,0
567,5,3,66,30,1
568,4,0,9,17,2
569,19,9,113,24,105
570,2,3,0,0,0
571,0,0,30,13,0
572,0,0,11,9,0
573,2,5,0,0,0
574,4,2,21,9,7
575,2,1,19,3,0
576,3,12,24,24,0
577,3,1,116,97,0
578,6,3,26,0,16
579,0,0,24,33,0
580,3,5,0,0,0
581,21,10,130,15,16
582,1,4,0,0,0
583,2,2,3,1,0
584,7,0,4,0,3
585,2,1,4,16,0
586,3,0,1,5,1
587,31,13,200,75,268
588,5,31,13,11,0
589,1,1,21,30,0
590,47,16,322,41,300
591,22,14,134,116,43
592,1,1,0,0,0
593,1,2,32,58,0
594,0,1,1,0,0
595,2,0,28,14,0
596,5,4,30,47,0
597,0,0,1,0,0
598,2,1,32,15,0
599,3,8,1,5,0
600,0,1,19,27,0
601,9,4,38,92,0
602,3,17,0,0,0
603,2,3,1,0,0
604,12,4,105,204,2
606,15,5,288,11,211
608,2,0,12,24,0
609,1,5,0,0,0
610,5,5,17,12,0
611,2,1,32,13,0
612,3,0,1,0,0
613,4,6,15,2,1
615,2,1,35,22,0
616,8,18,79,25,0
617,14,12,88,47,38
618,5,23,98,25,0
619,6,2,27,5,12
620,5,6,20,1,21
622,6,2,32,1,38
623,6,0,0,0,0
624,7,6,38,1,20
625,28,5,149,11,129
626,1,0,0,0,0
627,1,1,0,0,0
628,11,4,18,1,0
629,10,9,75,1,57
630,2,0,0,0,0
631,2,2,0,0,0
632,4,3,1,6,0
633,5,1,39,15,23
634,1,0,0,0,0
635,3,1,20,7,0
636,2,2,34,2,0
637,6,18,85,17,40
639,4,12,31,81,2
640,8,3,33,8,0
641,1,2,70,102,0
642,1,9,0,0,0
643,1,5,0,21,0
645,10,7,73,50,67
646,1,1,11,3,0
647,1,2,0,1,0
648,5,0,56,0,41
649,2,0,19,49,0
650,2,25,0,13,0
651,1,7,11,26,0
652,0,3,0,0,0
653,2,3,0,18,0
654,1,3,0,8,0
655,5,3,21,1,17
656,4,6,14,7,9
657,0,1,0,0,0
658,5,8,0,0,0
659,1,1,21,25,0
660,1,0,1,4,0
661,2,3,17,49,0
662,8,6,245,20,0
663,1,4,9,11,0
664,18,15,129,67,71
665,0,9,0,2,0
666,0,4,4,14,0
667,4,1,1,0,1
668,0,3,4,32,0
669,5,4,16,0,0
670,0,4,21,19,0
671,1,1,11,58,0
672,5,25,0,10,0
673,1,0,0,16,0
674,20,3,112,23,118
675,4,1,5,0,3
676,16,10,43,6,21
677,7,6,6,4,2
678,3,7,19,45,0
679,15,1,94,16,83
680,17,5,160,8,162
681,2,1,24,9,0
682,1,2,6,9,0
683,1,2,3,2,0
684,17,4,89,45,54
685,6,12,0,0,0
686,3,34,0,59,0
688,0,8,0,13,0
689,1,0,1,0,0
690,5,5,34,7,28
691,1,1,0,0,0
692,0,0,15,45,0
693,3,10,7,2,0
694,3,1,5,1,0
695,1,0,2,0,2
696,2,4,0,2,0
697,1,1,2,0,0
698,1,0,0,14,0
699,18,13,39,2,14
700,9,4,81,7,23
701,12,10,91,19,158
702,8,4,25,10,10
703,7,0,38,52,0
704,26,6,167,25,105
705,3,0,19,38,2
706,2,4,39,18,0
707,4,21,1,7,0
708,3,7,0,3,0
709,1,2,19,50,0
710,6,3,0,0,0
711,4,7,5,3,0
713,2,3,10,5,0
714,13,2,85,7,21
715,9,1,57,7,35
716,5,5,53,30,0
717,1,4,16,2,1
718,13,3,39,1,42
719,1,3,15,10,0
720,8,1,51,7,24
722,19,6,164,7,109
723,8,0,41,5,45
724,6,39,4,85,0
725,6,2,68,100,0
726,3,4,3,19,0
727,13,6,103,18,66
728,13,4,104,11,77
729,1,4,3,28,0
730,1,3,0,0,0
731,4,0,12,0,8
732,4,6,0,0,0
733,1,0,0,0,0
734,1,1,0,0,0
735,0,3,9,0,0
736,9,36,0,2,0
737,2,3,0,0,0
738,1,1,0,8,0
739,4,3,1,0,1
740,9,4,20,8,2
741,33,5,228,38,176
742,6,1,23,6,14
743,12,5,113,13,91
744,6,3,51,497,0
745,32,10,269,30,183
746,1,0,11,19,0
747,17,6,251,17,225
748,0,5,0,0,0
749,6,0,24,8,2
750,3,1,9,5,0
751,0,4,0,0,0
752,6,1,16,6,12
753,8,1,35,19,18
754,2,0,19,29,0
755,5,17,51,139,0
756,0,0,20,34,0
757,1,0,0,0,0
758,3,0,12,85,0
759,18,2,144,13,119
760,3,15,0,7,0
761,9,19,53,58,0
762,2,2,2,0,0
763,0,1,0,72,0
764,4,4,26,2,6
765,0,1,20,19,0
766,1,1,1,0,0
768,2,1,0,0,0
769,12,0,161,15,130
770,1,4,24,5,0
771,7,1,113,28,0
772,0,1,0,1,0
773,28,8,213,5,138
774,20,0,139,12,114
775,3,4,51,4,49
776,8,2,25,2,29
777,2,3,0,0,0
778,2,3,0,1,0
780,0,0,3,3,0
782,0,3,95,22,0
783,17,8,88,18,10
784,11,5,211,211,0
785,41,8,288,22,230
786,1,2,0,0,0
787,3,4,0,10,0
788,3,18,12,5,0
789,3,2,23,1,18
790,7,2,40,4,36
791,4,4,37,3,26
792,10,0,49,1,42
793,11,5,8,0,0
795,3,0,7,0,0
796,1,0,1,8,0
797,1,0,0,0,0
798,2,1,0,0,0
799,4,12,13,74,3
801,9,3,56,30,57
802,11,6,48,54,12
803,21,10,259,40,151
804,6,1,56,52,0
805,12,1,60,14,31
806,5,11,14,3,10
807,7,0,57,7,56
808,1,0,0,0,0
809,3,0,48,43,1
810,15,4,68,28,20
812,3,0,16,3,0
813,1,3,6,20,0
814,1,6,0,5,0
815,5,3,2,4,0
816,3,0,35,33,0
817,4,5,26,39,0
818,1,0,4,7,0
819,2,0,0,0,0
820,4,3,44,4,41
821,1,0,3,2,0
822,30,10,305,11,210
823,2,7,29,12,0
824,2,4,0,0,0
825,3,1,0,1,0
826,0,2,3,0,0
827,4,7,4,0,0
828,15,9,48,4,35
829,4,3,15,9,8
830,2,10,4,32,0
831,3,2,6,1,0
832,0,4,0,18,0
833,22,3,226,43,215
834,0,7,0,1,0
835,4,6,1,2,0
836,2,3,3,1,0
837,1,0,0,0,0
838,11,28,2,5,0
841,3,6,0,26,0
842,2,4,6,4,0
843,3,0,6,4,0
844,9,7,5,4,0
845,8,1,9,17,0
846,1,1,13,3,0
847,27,3,227,46,151
848,1,1,5,23,0
849,6,1,24,5,10
850,6,13,13,0,0
851,1,2,10,8,0
852,6,27,3,10,3
853,0,4,0,0,0
854,1,2,0,1,0
855,3,2,24,78,0
856,8,4,14,5,0
857,0,0,0,0,0
858,4,12,20,67,0
859,3,6,8,33,0
860,3,2,20,11,7
861,4,6,110,0,0
862,4,2,18,99,1
863,1,1,0,0,0
864,14,2,207,20,172
865,0,0,0,1,0
866,2,0,4,14,0
867,0,2,5,11,0
868,5,11,62,94,0
870,2,0,7,0,0
871,23,10,193,43,172
872,7,11,132,36,0
873,1,0,30,76,0
874,18,7,118,47,117
875,4,8,60,14,0
876,1,0,0,0,0
877,1,3,7,3,0
878,1,0,16,36,0
879,0,0,28,75,0
880,2,0,9,23,0
881,44,16,173,58,117
883,1,3,0,0,0
884,3,0,59,13,7
885,3,0,21,12,0
886,2,0,30,0,15
887,1,2,0,0,0
888,1,0,5,4,0
889,8,0,32,4,14
890,3,0,10,3,0
891,7,0,27,5,22
892,16,6,144,3,124
893,1,3,30,35,8
894,2,2,41,39,0
895,3,2,52,15,7
896,4,0,0,0,0
897,0,4,21,11,0
898,10,4,79,6,45
899,2,2,3,3,0
900,42,5,681,26,529
902,0,2,0,0,0
904,1,1,0,0,0
906,4,1,18,7,2
907,3,3,32,55,0
908,4,2,0,0,0
910,3,16,0,1,0
911,4,5,149,50,0
912,30,2,248,13,205
914,3,23,15,115,0
915,0,0,2,5,0
916,1,3,12,13,0
917,10,8,31,109,0
918,4,2,22,7,3
919,5,3,41,64,3
920,11,2,280,212,2
921,1,0,25,52,0
922,4,4,7,6,0
923,8,2,106,11,86
924,23,3,131,8,124
925,3,2,18,59,0
926,2,0,3,31,0
928,1,0,0,22,0
929,3,0,23,50,0
930,8,0,36,8,21
931,3,2,20,17,0
932,5,8,21,67,0
933,6,7,68,69,21
934,4,2,36,16,0
935,0,1,0,0,0
936,1,0,1,2,0
937,4,9,26,10,0
938,0,0,4,0,0
939,16,3,100,8,66
940,2,4,3,74,0
941,6,2,46,1,37
942,1,6,0,37,0
943,1,1,24,26,0
944,1,4,1,0,0
945,6,0,79,6,45
947,6,4,29,6,24
