tid,row,col,cls
0,1021,2874,4
0,1024,2285,2
0,1025,3782,4
0,1026,3461,2
0,1028,2331,2
0,1033,2808,2
0,1035,3435,4
0,1039,2262,4
0,1046,2952,2
0,1047,2717,2
0,1052,3378,2
0,1058,2569,2
0,1060,1367,0
0,1062,2022,2
0,1064,4039,2
0,1070,3357,4
0,1073,2087,4
0,1076,2709,2
0,1078,3097,4
0,1086,1956,2
0,1086,2575,4
0,1088,2689,4
0,1091,3772,2
0,1093,1935,4
0,1093,3181,4
0,1095,2332,2
0,1096,3277,2
0,1100,2944,4
0,1111,2737,2
0,1116,2864,1
0,1116,3433,4
0,1117,2290,0
0,1118,2376,4
0,1122,2943,2
0,1123,2554,4
0,1126,3345,2
0,1133,3452,2
0,1134,2087,4
0,1136,2148,4
0,1146,3583,4
0,1150,2585,2
0,1152,3059,2
0,1157,2527,4
0,1158,2093,2
0,1160,2807,2
0,1161,2165,2
0,1164,1938,4
0,1165,3142,2
0,1170,2217,2
0,1170,3501,4
0,1181,2533,2
0,1182,3519,2
0,1187,2789,4
0,1191,2001,2
0,1191,2587,2
0,1193,2740,4
0,1197,2650,4
0,1198,2395,2
0,1214,3097,4
0,1215,2121,4
0,1218,3131,2
0,1218,3542,4
0,1218,3567,2
0,1221,2724,2
0,1222,2906,2
0,1223,3213,2
0,1224,2013,4
0,1224,2216,4
0,1227,2554,0
0,1241,2848,4
0,1243,2681,4
0,1243,3671,4
0,1249,4973,1
0,1250,2066,2
0,1253,3093,2
0,1255,2124,2
0,1264,2908,4
0,1264,3057,4
0,1265,1903,2
0,1267,1968,2
0,1275,2810,2
0,1276,2685,2
0,1278,2121,4
0,1278,3246,4
0,1287,2454,2
0,1292,3355,4
0,1298,3400,2
0,1300,1967,4
0,1302,2900,2
0,1302,3720,4
0,1308,3017,4
0,1316,2239,4
0,1325,2218,2
0,1328,2641,4
0,1331,1918,2
0,1331,2754,1
0,1333,3223,2
0,1339,3239,4
0,1339,3673,2
0,1342,2139,4
0,1345,2174,2
0,1355,2117,2
0,1356,3331,2
0,1357,3512,2
0,1358,2848,4
0,1362,3302,4
0,1373,2969,4
0,1379,2301,4
0,1380,1987,0
0,1383,3496,4
0,1389,3074,4
0,1393,3414,0
0,1396,3172,4
0,1405,3812,4
0,1406,3345,4
0,1409,2241,4
0,1411,2280,2
0,1412,3064,2
0,1414,2760,4
0,1421,1847,0
0,1421,2944,2
0,1426,3821,2
0,1431,2803,2
0,1433,2230,2
0,1433,3307,2
0,1434,3660,4
0,1440,3230,2
0,1443,3679,2
0,1447,2857,2
0,1453,3581,2
0,1456,3296,4
0,1461,3555,4
0,1464,3233,4
0,1474,3144,2
0,1478,2699,4
0,1479,1040,1
0,1489,2681,2
0,1491,2904,2
0,1491,3101,2
0,1498,2208,3
0,1499,3308,4
0,1502,3799,2
0,1504,4978,1
0,1505,3335,2
0,1507,2781,2
0,1508,3776,4
0,1509,3703,2
0,1510,3082,4
0,1510,3241,4
0,1515,2526,0
0,1515,3684,4
0,1537,2818,2
0,1539,2947,4
0,1546,1058,3
0,1561,2960,2
0,1564,3117,2
0,1570,1361,0
0,1583,3654,4
0,1590,3244,2
0,1596,1865,0
0,1601,3637,2
0,1604,3023,4
0,1610,3432,4
0,1621,2980,4
0,1645,3438,2
0,1658,2736,2
0,1658,2770,4
0,1658,2860,4
0,1658,2877,2
0,1662,3659,2
0,1666,2465,0
0,1672,3710,0
0,1675,3020,2
0,1680,2327,0
0,1691,919,3
0,1692,3199,2
0,1700,2124,2
0,1707,1506,4
0,1708,3183,4
0,1717,1531,2
0,1717,4651,0
0,1723,2071,3
0,1726,953,3
0,1727,3292,2
0,1732,3460,2
0,1739,3517,4
0,1746,3356,2
0,1757,3441,3
0,1760,3319,2
0,1761,847,3
0,1768,2743,4
0,1777,3345,4
0,1777,3559,3
0,1792,2737,2
0,1793,1328,0
0,1793,2144,2
0,1798,2858,2
0,1798,2957,2
0,1800,2005,2
0,1801,3438,4
0,1803,4927,0
0,1804,4040,2
0,1805,2685,4
0,1808,2924,4
0,1812,2154,4
0,1817,1891,2
0,1818,2876,4
0,1822,2488,2
0,1825,3462,2
0,1834,2673,2
0,1836,1971,4
0,1837,1244,2
0,1858,1970,2
0,1859,1878,4
0,1861,3750,0
0,1862,2050,4
0,1865,1670,0
0,1865,3556,4
0,1872,2127,0
0,1873,2565,2
0,1876,2781,2
0,1876,3216,4
0,1876,3242,2
0,1881,2043,2
0,1881,3595,2
0,1883,3363,2
0,1891,2972,0
0,1893,3147,4
0,1898,3163,2
0,1901,2765,4
0,1906,547,3
0,1916,2022,4
0,1923,2532,2
0,1925,3910,0
0,1927,2243,2
0,1936,1926,2
0,1937,2664,2
0,1937,3307,4
0,1945,1909,4
0,1945,2496,2
0,1947,5324,1
0,1948,3413,2
0,1950,2542,4
0,1952,1221,0
0,1953,1876,2
0,1956,2054,2
0,1956,2248,4
0,1962,2758,2
0,1962,3290,2
0,1968,3531,1
0,1976,2663,2
0,1978,2488,4
0,1980,2631,4
0,1985,2081,4
0,1986,2310,4
0,1994,2384,4
0,1996,2103,2
0,1997,2599,2
0,1999,1858,4
0,2007,2683,2
0,2009,2039,4
0,2009,3483,2
0,2011,2717,4
0,2013,2340,2
0,2014,1765,4
0,2015,2540,0
0,2028,1746,2
0,2028,2036,2
0,2030,3263,2
0,2030,3340,4
0,2032,1696,4
0,2033,1935,2
0,2039,1811,2
0,2041,1915,4
0,2044,3572,4
0,2045,3250,4
0,2045,3507,4
0,2049,2404,2
0,2051,1670,2
0,2051,3552,2
0,2054,3709,2
0,2064,3425,2
0,2065,3310,2
0,2069,2337,4
0,2073,1627,4
0,2075,2044,4
0,2077,2060,2
0,2079,2265,2
0,2082,1603,2
0,2083,2249,4
0,2084,1812,4
0,2088,2510,4
0,2097,2401,4
0,2105,2346,2
0,2105,2385,2
0,2113,1299,2
0,2114,3310,4
0,2121,2801,2
0,2124,1820,4
0,2133,2291,0
0,2134,1653,2
0,2145,1844,2
0,2146,1260,4
0,2146,1510,2
0,2153,2365,2
0,2177,2454,4
0,2189,1513,4
0,2192,2435,2
0,2193,1689,4
0,2197,1952,0
0,2198,2201,4
0,2203,1430,4
0,2204,1859,4
0,2220,1241,2
0,2221,2383,2
0,2224,1833,2
0,2228,2468,2
0,2231,2169,4
0,2237,3284,2
0,2244,1442,2
0,2248,1301,4
0,2255,1807,4
0,2258,2803,4
0,2260,2371,2
0,2264,2873,4
0,2265,1735,2
0,2267,2657,4
0,2268,2902,2
0,2271,2335,4
0,2273,1642,2
0,2275,1803,2
0,2277,1569,3
0,2282,2730,4
0,2286,1846,3
0,2286,2709,2
0,2287,2038,2
0,2288,1748,4
0,2289,1432,4
0,2301,1668,4
0,2304,1445,2
0,2310,2068,4
0,2311,2199,4
0,2312,2091,2
0,2315,1985,4
0,2321,2845,3
0,2321,3276,0
0,2327,2773,0
0,2328,1517,4
0,2328,3172,2
0,2335,3089,4
0,2338,1186,4
0,2344,1725,4
0,2345,1509,2
0,2347,2675,4
0,2357,2427,2
0,2360,1736,2
0,2362,1882,2
0,2362,3088,2
0,2367,1647,2
0,2368,2893,2
0,2369,2401,4
0,2371,2675,2
0,2377,1827,2
0,2377,1899,4
0,2380,1948,2
0,2385,2180,2
0,2388,1381,2
0,2389,2257,0
0,2390,1815,4
0,2399,2340,2
0,2400,3218,2
0,2401,2912,4
0,2409,1640,4
0,2416,1546,0
0,2419,1701,2
0,2428,1733,4
0,2428,2509,2
0,2430,3119,2
0,2431,2843,2
0,2432,1227,2
0,2434,3344,2
0,2437,3322,4
0,2440,3070,3
0,2442,1633,4
0,2444,3049,2
0,2447,4036,0
0,2447,4791,0
0,2451,2487,4
0,2454,1775,2
0,2458,1332,2
0,2467,2274,4
0,2472,2165,2
0,2475,1320,4
0,2478,1761,4
0,2479,1649,2
0,2484,2292,2
0,2486,1441,2
0,2486,2680,4
0,2489,1524,3
0,2500,2700,2
0,2506,3172,4
0,2507,2161,4
0,2516,3787,0
0,2517,3075,2
0,2527,2229,2
0,2529,1480,4
0,2529,2357,4
0,2530,2325,2
0,2532,1193,2
0,2550,1619,2
0,2551,2219,4
0,2555,1234,4
0,2555,1761,2
0,2558,1734,4
0,2564,2458,2
0,2572,1858,2
0,2573,2783,2
0,2581,2581,2
0,2582,1603,4
0,2585,1409,0
0,2588,1925,4
0,2588,2717,2
0,2594,2437,4
0,2596,1704,2
0,2598,2051,2
0,2603,1646,4
0,2608,1297,4
0,2610,2174,0
0,2611,2985,2
0,2612,2292,4
0,2616,2735,4
0,2624,1274,2
0,2624,2319,2
0,2627,630,1
0,2631,2851,2
0,2644,3006,4
0,2645,3376,2
0,2648,2177,4
0,2649,5135,1
0,2650,2427,4
0,2651,2398,2
0,2652,2068,4
0,2654,1809,4
0,2657,2498,2
0,2658,2158,2
0,2659,2786,2
0,2660,2245,4
0,2662,2532,2
0,2662,2755,4
0,2679,1982,2
0,2684,1833,2
0,2690,3821,2
0,2693,2231,2
0,2700,2601,2
0,2707,2121,2
0,2712,2146,4
0,2712,2436,2
0,2723,3870,2
0,2725,2586,4
0,2727,1705,2
0,2728,1953,4
0,2728,3074,4
0,2731,665,4
0,2733,2424,4
0,2740,704,4
0,2745,626,4
0,2747,2797,2
0,2748,2214,2
0,2753,2831,3
0,2755,715,2
0,2757,638,2
0,2760,3249,4
0,2763,499,2
0,2764,568,2
0,2765,488,4
0,2766,3077,2
0,2768,1721,4
0,2772,553,4
0,2780,2922,4
0,2782,2944,2
0,2785,3768,2
0,2787,3004,2
0,2787,3250,2
0,2788,3658,2
0,2789,3629,4
0,2792,2235,4
0,2793,1101,3
0,2795,2070,2
0,2796,3734,4
0,2797,2170,2
0,2798,1880,4
0,2800,3886,2
0,2801,3395,0
0,2803,2797,2
0,2811,1348,4
0,2813,526,3
0,2818,1376,2
0,2828,3864,2
0,2831,3789,2
0,2834,2045,4
0,2835,1904,2
0,2838,2118,4
0,2839,2352,4
0,2842,2330,2
0,2844,4009,2
0,2847,4034,2
0,2849,2843,4
0,2852,2897,2
0,2856,2109,4
0,2863,502,2
0,2878,2142,2
0,2878,3918,2
0,2884,2805,4
0,2886,2169,2
0,2886,2882,4
0,2891,1579,4
0,2892,880,2
0,2892,2293,4
0,2901,1388,2
0,2903,945,2
0,2907,4085,0
0,2911,2476,4
0,2913,971,3
0,2913,1677,2
0,2918,2855,2
0,2920,555,4
0,2922,3489,2
0,2924,1657,4
0,2925,572,2
0,2925,3233,2
0,2928,1337,2
0,2928,1592,2
0,2932,2476,2
0,2942,1948,4
0,2943,1383,4
0,2943,3152,4
0,2943,3220,4
0,2944,3400,4
0,2955,3496,4
0,2963,1338,4
0,2968,1522,4
0,2973,2133,4
0,2989,2663,2
0,2992,1486,2
0,2995,1937,0
0,2995,2301,2
0,2997,4449,0
0,3005,3723,2
0,3006,3707,4
0,3016,2593,4
0,3026,1584,4
0,3026,1605,2
0,3026,3304,4
0,3027,2397,2
0,3034,913,3
0,3034,3322,2
0,3039,688,0
0,3040,1716,4
0,3041,2841,0
0,3045,2499,2
0,3048,2473,4
0,3049,1798,4
0,3049,2714,4
0,3051,1687,2
0,3053,2931,4
0,3055,2685,2
0,3067,2958,2
0,3072,2051,2
0,3075,2653,2
0,3078,1645,4
0,3078,1797,2
0,3081,4260,0
0,3084,1077,2
0,3089,1122,4
0,3094,2638,4
0,3094,4017,1
0,3096,2888,2
0,3099,2556,0
0,3104,3624,2
0,3109,3399,2
0,3111,2893,4
0,3126,2940,2
0,3129,1605,2
0,3139,4214,2
0,3140,2906,4
0,3146,1758,2
0,3152,2155,2
0,3164,2089,4
0,3169,2404,2
0,3169,2771,2
0,3171,4221,2
0,3173,899,2
0,3178,1437,1
0,3184,4256,2
0,3188,3569,4
0,3196,2285,2
0,3200,2939,2
0,3200,3592,2
0,3203,1089,4
0,3205,1040,2
0,3210,1917,0
0,3210,3822,0
0,3211,1119,2
0,3212,4345,2
0,3217,2195,4
0,3233,1877,2
0,3236,2712,4
0,3237,2308,2
0,3238,1057,4
0,3238,2204,2
0,3248,924,2
0,3258,2274,0
0,3262,1758,2
0,3266,4565,2
0,3272,2093,2
0,3273,3327,2
0,3284,910,3
0,3291,4558,2
0,3295,3093,2
0,3307,3306,4
0,3325,2147,2
0,3326,3481,2
0,3327,967,3
0,3332,3689,2
0,3339,1481,2
0,3342,867,0
0,3347,3417,2
0,3347,3933,2
0,3352,3684,4
0,3368,3274,2
0,3369,3924,4
0,3374,2645,4
0,3376,1930,4
0,3376,2620,2
0,3377,2939,2
0,3378,1915,2
0,3381,3020,2
0,3388,1117,4
0,3405,3457,2
0,3412,2045,2
0,3414,952,3
0,3414,1013,3
0,3426,3393,2
0,3434,2911,0
0,3435,3506,0
0,3445,3556,2
0,3449,1062,2
0,3450,4106,0
0,3451,1721,2
0,3458,1834,2
0,3459,1008,2
0,3470,3941,3
0,3474,1578,2
0,3476,4720,0
0,3489,1009,3
0,3491,3935,2
0,3504,1588,4
0,3515,3295,3
0,3524,1465,2
0,3535,1471,4
0,3539,3638,0
0,3543,3303,2
0,3552,2014,2
0,3568,2125,2
0,3582,2143,4
0,3582,3342,4
0,3584,3493,2
0,3596,3310,2
0,3601,1941,4
0,3615,3478,4
0,3621,3357,4
0,3625,2658,4
0,3626,3395,2
0,3635,2510,2
0,3636,2620,2
0,3642,3346,2
0,3648,2598,4
0,3658,2537,4
0,3691,1981,4
0,3693,2673,2
0,3711,2694,4
0,3725,3443,2
0,3726,2353,0
0,3726,3486,4
0,3728,2882,2
0,3730,1953,2
0,3732,3143,4
1,834,2579,1
1,871,2233,0
1,908,2961,1
1,933,3046,1
1,956,2244,1
1,1036,2276,1
1,1068,2367,1
1,1086,3231,3
1,1372,2576,3
1,1445,3201,1
1,1462,3487,3
1,1475,2762,1
1,1483,2857,1
1,1668,4806,3
1,1707,4022,1
1,1816,2112,1
1,1957,3060,1
1,2118,3279,3
1,2421,4501,1
1,2455,3437,1
1,2514,3521,1
1,2556,3612,3
1,2660,3525,3
1,2703,3031,3
1,2748,4396,3
1,2809,4351,1
1,2816,3998,1
1,2880,3012,0
1,2933,4437,3
1,2959,4609,1
1,2992,4574,1
1,3056,4655,1
1,3414,4781,3
1,3609,3619,3
2,834,2581,2
2,861,2611,3
2,876,2541,3
2,886,2556,3
2,909,2587,2
2,931,2602,3
2,1683,2165,2
2,1688,2216,2
2,1700,2116,3
2,1702,2241,2
2,1711,2215,2
2,1714,2156,2
2,1719,2071,3
2,1720,2056,3
2,1725,2129,3
2,1725,2267,2
2,1732,2163,2
2,1733,2106,2
2,1742,2123,2
2,1751,2093,2
2,1756,2111,3
2,1769,2062,2
2,1773,2084,0
2,1776,2161,2
2,1777,2288,2
2,1778,2235,2
2,1781,2035,2
2,1783,2266,3
2,1790,2181,2
2,1801,2053,2
2,1801,2164,2
2,1807,1978,3
2,1816,2054,2
2,1816,2272,0
2,1818,2000,2
2,1818,2231,2
2,1819,2130,2
2,1822,2085,3
2,1823,2116,2
2,1825,2098,3
2,1825,2161,2
2,1831,2035,2
2,1831,2060,2
2,1833,2015,3
2,1833,2253,2
2,1836,2312,2
2,1842,2172,2
2,1843,2287,2
2,1847,2223,2
2,1849,2327,2
2,1851,2244,3
2,1858,2212,3
2,1858,2272,2
2,1860,2037,3
2,1877,2226,2
2,1880,2332,3
2,1882,2306,2
2,1887,2342,3
4,835,3970,1
4,967,3958,1
4,976,3679,1
4,1128,4047,0
4,1135,3958,1
4,1339,4088,0
4,1641,4121,1
4,2377,3347,0
4,2503,3088,0
4,2535,60,0
4,2766,910,1
4,2923,2966,1
4,2954,2143,1
4,3367,2458,0
4,3465,1093,2
4,3479,675,2
4,3505,1693,1
5,477,3382,4
5,498,3370,4
5,529,3446,4
5,535,3404,1
5,567,3453,2
5,601,3406,4
5,612,3299,4
5,637,3355,2
5,679,3396,3
5,770,3366,1
5,1155,3363,0
5,1342,3570,1
5,1416,3252,2
5,1436,3234,4
5,1447,3273,2
5,1454,3317,4
5,1467,3241,4
5,1504,3211,2
5,1517,3138,4
5,1517,3283,4
5,1522,3258,4
5,1536,3183,4
5,1536,3246,2
5,1550,3197,2
5,1554,3147,4
5,1565,3175,4
5,1597,3244,2
5,1643,3196,2
5,1647,3083,2
5,1675,3193,4
5,1679,3058,2
5,1684,3147,3
5,1689,3905,0
5,1691,3257,4
5,1705,3188,3
5,1711,3246,2
5,1728,3095,0
5,1732,3299,4
5,1769,3214,3
5,1770,3301,4
5,1790,3170,2
5,1796,3301,2
5,1811,3212,4
5,2154,2996,0
5,2483,3053,0
5,2911,3952,0
5,3218,3488,1
6,698,1604,0
6,781,1626,3
6,1007,1614,3
6,1021,1639,2
6,1064,1633,2
6,1070,1366,2
6,1100,1600,2
6,1108,1390,3
6,1128,1418,3
6,1148,1407,2
6,1175,1437,3
6,1233,1552,2
6,1254,1537,2
6,2021,826,3
6,2024,974,2
6,2039,826,3
6,2051,837,2
6,2052,995,3
6,2071,847,3
6,2082,1051,3
6,2086,1028,2
6,2087,892,2
6,2103,1085,3
6,2113,821,2
6,2113,1059,1
6,2115,852,2
6,2117,955,2
6,2136,864,1
6,2148,837,3
6,2153,1026,1
6,2168,930,1
6,2170,882,2
6,2178,860,2
6,2178,980,3
6,2184,1035,3
6,2199,912,1
6,2199,1076,3
6,2208,959,3
6,2220,891,2
6,2221,919,3
6,2229,991,2
6,2262,914,2
6,2263,880,2
6,2304,946,3
8,149,2660,2
8,201,2578,2
8,208,2655,2
8,212,2599,4
8,251,2644,2
8,253,2532,4
8,253,2631,4
8,261,2562,2
8,261,2597,4
8,273,2484,4
8,277,2622,2
8,292,2497,2
8,311,2550,2
8,312,2451,2
8,325,2664,0
8,337,2571,4
8,359,2540,2
8,380,2453,4
8,393,2462,2
8,416,2457,4
8,421,2107,0
8,493,2830,1
8,503,2367,2
8,535,2347,4
8,575,2413,2
8,584,2397,4
8,597,2628,4
8,615,2527,2
8,617,2658,2
8,636,2332,4
8,657,2446,2
8,663,2522,2
8,667,2249,2
8,680,2373,2
8,682,2269,4
8,694,2583,2
8,701,2528,2
8,706,2624,0
8,722,2300,4
8,729,2230,4
8,729,2361,4
8,740,2541,4
8,743,2514,4
8,755,2456,2
8,757,2556,2
8,761,2493,2
8,769,2298,2
8,769,2516,4
8,778,2217,1
8,787,2564,2
8,792,2275,4
8,792,2524,2
8,803,2432,4
8,808,2376,2
8,811,2628,2
8,813,2078,3
8,813,2458,2
8,816,2356,4
8,816,2489,2
8,817,2562,2
8,820,2604,2
8,838,2673,2
8,855,2482,4
8,871,2506,2
8,882,2601,2
8,883,2418,2
8,889,2076,4
8,897,2447,3
8,898,2693,2
8,899,2155,2
8,917,2482,4
8,925,2526,2
8,933,2441,2
8,943,2384,2
8,949,2574,4
8,950,2439,4
8,956,2594,2
8,958,2449,4
8,965,2481,2
8,975,2674,0
8,980,2247,0
8,989,2562,3
8,990,2515,2
8,994,2603,2
8,1007,2494,4
8,1023,2641,4
8,1045,2492,4
8,1046,2567,2
8,1046,2629,2
8,1051,2543,4
8,1059,2511,2
8,1124,2585,2
8,1144,2747,0
8,1274,2133,0
8,1279,2520,2
8,1289,2488,4
8,1292,2582,2
8,1292,2826,1
8,1293,2551,2
8,1315,2546,2
8,1329,2519,4
8,1335,2586,4
8,1357,2600,2
8,1362,2515,2
8,1405,2576,3
8,1411,2662,2
8,1425,2609,2
8,1430,2571,2
8,1438,2235,2
8,1441,2489,4
8,1443,2432,4
8,1453,2442,2
8,1454,2524,2
8,1457,2224,4
8,1471,2458,4
8,1471,2491,2
8,1505,2281,1
8,1520,2456,2
8,1534,2173,4
8,1539,2549,0
8,1548,2393,4
8,1562,2453,4
8,1567,2481,2
8,1568,2202,2
8,1570,2413,2
8,1570,2466,2
8,1580,2189,4
8,1596,2413,2
8,1613,2410,4
8,1621,2467,4
8,1624,2559,2
8,1627,2612,2
8,1631,2534,4
8,1637,2482,2
8,1646,2415,4
8,1666,2417,2
8,1677,2201,4
8,1677,2564,0
8,1689,2266,1
8,1689,2363,2
8,1706,2594,2
8,1722,2565,4
8,1732,2453,2
8,1739,2419,4
8,1771,2235,4
10,876,3601,3
10,888,3592,1
10,891,3544,2
10,898,3413,3
10,925,3387,1
10,933,3310,0
10,941,3523,2
10,944,3833,2
10,946,3862,3
10,952,3580,0
10,966,3406,3
10,1004,3484,2
10,1050,3377,2
10,1116,1587,0
10,1119,3303,2
10,1184,3332,1
10,1274,3495,2
10,1283,3476,3
10,1423,1989,0
10,1551,2508,1
10,1557,2476,0
11,704,2833,0
11,795,2897,3
11,1014,2879,2
11,1056,2935,2
11,1092,3209,2
11,1170,3204,3
11,1176,3275,2
11,1186,3287,2
11,1198,3321,2
11,1208,3209,2
11,1214,3290,3
11,1225,3313,2
11,1234,3249,2
11,1237,3192,2
11,1242,3408,2
11,1256,3313,2
11,1266,3108,1
11,1284,3169,0
11,1289,2970,2
11,1298,3033,2
11,1334,3080,2
11,1359,3051,2
11,1360,3302,2
11,1366,3137,3
11,1378,3113,2
11,1388,3492,0
11,1389,3262,3
11,1390,3359,1
11,1407,3238,2
11,1407,3393,2
11,1411,3170,2
11,1427,3095,2
11,1431,3287,2
11,1440,3262,2
11,1444,3150,1
11,1445,3191,2
11,1465,3130,2
11,1466,3198,2
11,1467,3318,2
11,1471,3367,2
11,1473,3227,3
11,1478,3398,3
11,1480,3356,2
11,1485,3147,2
11,1508,3331,3
11,1513,3375,2
11,1528,3306,3
11,1542,3335,3
11,1549,3267,2
11,1549,3365,3
11,1558,3304,2
11,1572,3332,1
11,1597,3315,2
11,3313,2962,3
11,3327,2830,1
11,3341,2992,3
11,3458,2840,2
12,632,2678,2
12,651,3301,0
12,709,2657,2
12,725,2176,2
12,737,2670,4
12,753,2776,3
12,762,2504,0
12,762,2723,2
12,774,2708,4
12,790,2522,2
12,800,2685,2
12,843,2667,2
12,847,2646,4
12,851,2796,2
12,892,2847,2
12,895,2760,4
12,931,3045,0
12,933,2727,4
12,963,3221,4
12,1014,2658,2
12,1032,3166,2
12,1075,2774,2
12,1293,3369,0
12,1731,2974,1
12,2009,3478,2
12,2145,3636,4
12,2440,3309,0
12,2706,3729,1
12,2706,3855,1
12,2738,3631,1
12,2791,3553,1
12,2869,3917,1
12,2910,3613,0
12,2993,3750,1
12,3114,3264,0
12,3203,3470,1
12,3246,3311,1
12,3311,4080,0
13,1670,940,1
13,1721,995,1
13,1732,983,3
13,1740,946,3
13,1774,875,3
13,1799,864,0
13,1806,920,2
13,1816,908,2
13,1818,954,3
13,1831,920,3
13,1835,936,3
13,1849,833,2
13,1858,928,2
13,1868,871,2
13,1889,837,1
13,1909,800,2
13,1910,853,2
13,1919,806,2
13,1922,826,2
13,1928,840,2
13,1928,1092,2
13,1937,773,2
13,1937,885,2
13,1950,799,1
13,1956,598,2
13,1960,1063,2
13,1978,1106,3
13,1981,653,3
13,1986,1094,2
13,1995,628,2
13,1998,1083,2
13,1999,1101,3
13,2019,1060,3
13,2024,721,3
13,2030,1094,1
13,2032,731,2
13,2037,697,3
13,2047,683,2
13,2048,1054,3
